zio	qhandziwTuan	qhandziwDriang	zyephengTuan	zyephengDriang
1	平	平聲	Brieŋ	Brieŋshieŋ
2	上	上聲	Diáŋ	Diáŋshieŋ
3	去	去聲	Khiô	Khiôshieŋ
4	入	入聲	Nip	Nipshieŋ
