zio	qhandziwTuan	qhandziwDriang	zyephengTuan	zyephengDriang
1	一	一等韵	I	I‐tə́ixrŷn
2	二	二等韵	II	II‐tə́ixrŷn
3	三	三等韵	III	III‐tə́ixrŷn
4	四	四等韵	IV	IV‐tə́ixrŷn
