zio	qhandziwTuan	qhandziwDriang	zyephengTuan	zyephengDriang	xruek
125	老	老部	LÁU	LÁU‐bú	6
126	而	而部	NIƏ	NIƏ‐bú	6
127	耒	耒部	LÝI	LÝI‐bú	6
128	耳	耳部	NIƏ́	NIƏ́‐bú	6
129	聿	聿部	JYT	JYT‐bú	6
130	肉	肉部	NYUK	NYUK‐bú	6
131	臣	臣部	DIN	DIN‐bú (臣)	6
132	自	自部	DZÎ	DZÎ‐bú	6
133	至	至部	TÎ	TÎ‐bú	6
134	臼	臼部	GYÚ	GYÚ‐bú	6
135	舌	舌部	ZHIET	ZHIET‐bú	6
136	舛	舛部	THYÉN	THYÉN‐bú	6
137	舟	舟部	TYU	TYU‐bú	6
138	艮	艮部	KƏ̂N	KƏ̂N‐bú	6
139	色	色部	SRIƏK	SRIƏK‐bú	6
140	艸	艸部	CHÁU	CHÁU‐bú	6
141	虍	虍部	QHO	QHO‐bú	6
142	虫	虫部	QHYÚI	QHYÚI‐bú	6
143	血	血部	QHUET	QHUET‐bú	6
144	行	行部	XRAŊ	XRAŊ‐bú	6
145	衣	衣部	QIƏI	QIƏI‐bú	6
146	襾	襾部	QRÂ	QRÂ‐bú	6
147	見	見部	KÊN	KÊN‐bú	7
148	角	角部	KROK	KROK‐bú	7
149	言	言部	ŊIAN	ŊIAN‐bú	7
150	谷	谷部	KUK	KUK‐bú	7
151	豆	豆部	DÛ	DÛ‐bú	7
152	豕	豕部	SHIÉ	SHIÉ‐bú	7
153	豸	豸部	DRIÉ	DRIÉ‐bú	7
154	貝	貝部	PÂI	PÂI‐bú	7
155	赤	赤部	THIEK	THIEK‐bú	7
156	走	走部	CÚ	CÚ‐bú	7
157	足	足部	CYOK	CYOK‐bú	7
158	身	身部	SHIN	SHIN‐bú	7
159	車	車部	THIA	THIA‐bú	7
160	辛	辛部	SIN	SIN‐bú	7
161	辰	辰部	DIN	DIN‐bú (辰)	7
162	辵	辵部	THRIAK	THRIAK‐bú	7
163	邑	邑部	QRIP	QRIP‐bú	7
164	酉	酉部	JYÚ	JYÚ‐bú	7
165	釆	釆部	BRÊN	BRÊN‐bú	7
166	里	里部	LIƏ́	LIƏ́‐bú	7
167	金	金部	KRIM	KRIM‐bú	8
168	長	長部	DRIAŊ	DRIAŊ‐bú	8
169	門	門部	MUN	MUN‐bú	8
170	阜	阜部	BYÚ	BYÚ‐bú	8
171	隶	隶部	DƏ̂I	DƏ̂I‐bú	8
172	隹	隹部	TYI	TYI‐bú	8
173	雨	雨部	XYÓ	XYÓ‐bú (雨)	8
174	青	青部	CHEŊ	CHEŊ‐bú	8
175	非	非部	PYUI	PYUI‐bú (非)	8
176	面	面部	MIÊN	MIÊN‐bú	9
177	革	革部	KREK	KREK‐bú	9
178	韋	韋部	XYUI	XYUI‐bú (韋)	9
179	韭	韭部	KYÚ	KYÚ‐bú	9
180	音	音部	QRIM	QRIM‐bú	9
181	頁	頁部	XET	XET‐bú	9
182	風	風部	PYUŊ	PYUŊ‐bú	9
183	飛	飛部	PYUI	PYUI‐bú (飛)	9
184	食	食部	ZHIƏK	ZHIƏK‐bú	9
185	首	首部	SHYÚ	SHYÚ‐bú (首)	9
186	香	香部	QHIAŊ	QHIAŊ‐bú	9
187	馬	馬部	MRÁ	MRÁ‐bú	10
188	骨	骨部	KUT	KUT‐bú	10
189	高	高部	KAU	KAU‐bú	10
190	髟	髟部	PIEU	PIEU‐bú	10
191	鬥	鬥部	TÛ	TÛ‐bú	10
192	鬯	鬯部	THRIÂŊ	THRIÂŊ‐bú	10
193	鬲	鬲部	LEK	LEK‐bú	10
