pieutiwbyo	dziwbyo	dziwbyoNguaidziw	syenjyongdziw	krenqhruadziw	nitpundziw	thongqitmra
09E7D	鹽			盐	塩	U+9E7D
09E7F	鹿					U+9E7F
09E80	麀					U+9E80
09E88	麈					U+9E88
09E8B	麋					U+9E8B
09E8C	麌					U+9E8C
09E92	麒					U+9E92
09E93	麓					U+9E93
09E96	麖					U+9E96
09E9D	麝					U+9E9D
09EA5	麥			麦	麦	U+9EA5
09EA9	麩			麸		U+9EA9
09EAA	麪		麵	面		U+9EAA
09EB5	麵			面	麺	U+9EB5
09EC4	黄					U+9EC4
09ECC	黌			黉		U+9ECC
09ECD	黍					U+9ECD
09ED1	黑				黒	U+9ED1
09ED4	黔					U+9ED4
09ED8	默				黙	U+9ED8
09EDC	黜					U+9EDC
09EE0	黠					U+9EE0
09EE5	黥					U+9EE5
09EEF	黯					U+9EEF
09EF7	黷			黩		U+9EF7
09F04	鼄					U+9F04
09F07	鼇		鰲	鳌		U+9F07
09F0E	鼎					U+9F0E
09F13	鼓					U+9F13
09F15	鼕			冬		U+9F15
09F17	鼗					U+9F17
09F1B	鼛					U+9F1B
09F20	鼠					U+9F20
09F26	鼦					U+9F26
09F2A	鼪					U+9F2A
09F2B	鼫					U+9F2B
09F2C	鼬					U+9F2C
09F2F	鼯					U+9F2F
09F3B	鼻					U+9F3B
09F3E	鼾					U+9F3E
09F41	齁					U+9F41
09F4A	齊			齐	斉	U+9F4A
09F4F	齏			齑		U+9F4F
09F52	齒			齿	歯	U+9F52
09F54	齔			龀		U+9F54
09F55	齕			龁		U+9F55
09F58	齘			𬹼		U+9F58
09F69	齩		咬			U+9F69
09F6A	齪			龊		U+9F6A
09F6C	齬			龉		U+9F6C
09F72	齲			龋		U+9F72
09F94	龔			龚		U+9F94
09F95	龕			龛		U+9F95
09F9C	龜			龟	亀	U+9F9C
09FA0	龠					U+9FA0
09FA5	龥					U+9FA5
21484	𡒄	⿰土禀				U+21484
2298F	𢦏					U+2298F
25AF1	𥫱					U+25AF1
266A2	𦚢	⿰月㫐				U+266A2
271A8	𧆨	⿸虍田				U+271A8
2C1C7	𬇇	⿰叠毛				U+2C1C7
