pieutiwbyo	dziwbyo	dziwbyoNguaidziw	syenjyongdziw	krenqhruadziw	nitpundziw	thongqitmra
08D77	起					U+8D77
08D8A	越					U+8D8A
08D91	趑					U+8D91
08D95	趕			赶		U+8D95
08D97	趗					U+8D97
08D99	趙			赵		U+8D99
08DAF	趯					U+8DAF
08DB3	足					U+8DB3
08DBC	趼					U+8DBC
08DBE	趾					U+8DBE
08DC7	跇					U+8DC7
08DCC	跌					U+8DCC
08DCF	跏					U+8DCF
08DD1	跑					U+8DD1
08DD4	跔					U+8DD4
08DD6	跖					U+8DD6
08DDD	距					U+8DDD
08DE0	跠					U+8DE0
08DE1	跡		迹			U+8DE1
08DE3	跣					U+8DE3
08DE4	跤					U+8DE4
08DE6	跦					U+8DE6
08DE9	跩					U+8DE9
08DEB	跫					U+8DEB
08DEF	路					U+8DEF
08DF1	跱					U+8DF1
08DF3	跳					U+8DF3
08DFC	跼		局			U+8DFC
08DFD	跽					U+8DFD
08E06	踆					U+8E06
08E09	踉					U+8E09
08E0A	踊		踴	踊		U+8E0A
08E1E	踞					U+8E1E
08E31	踱					U+8E31
08E34	踴			踊		U+8E34
08E3D	踽					U+8E3D
08E40	蹀					U+8E40
08E47	蹇					U+8E47
08E48	蹈					U+8E48
08E49	蹉					U+8E49
08E50	蹐					U+8E50
08E55	蹕			跸		U+8E55
08E5C	蹜					U+8E5C
08E5F	蹟		迹			U+8E5F
08E60	蹠		跖			U+8E60
08E61	蹡					U+8E61
08E70	蹰					U+8E70
08E72	蹲					U+8E72
08E76	蹶					U+8E76
08E87	躇					U+8E87
08E8A	躊			踌		U+8E8A
08E8D	躍			跃		U+8E8D
08E90	躐					U+8E90
08E94	躔					U+8E94
08E97	躗					U+8E97
08E9E	躞					U+8E9E
08EAA	躪			躏		U+8EAA
08EAB	身					U+8EAB
08EAC	躬					U+8EAC
08EB0	躰					U+8EB0
08EB3	躳		躬			U+8EB3
08ECA	車			车		U+8ECA
08ECC	軌			轨		U+8ECC
08ECD	軍			军		U+8ECD
08ED1	軑			轪		U+8ED1
08ED2	軒			轩		U+8ED2
08EDD	軝			𬨂		U+8EDD
08EF8	軸			轴		U+8EF8
08EFB	軻			轲		U+8EFB
08EFC	軼			轶		U+8EFC
08F03	較			较		U+8F03
08F05	輅			辂		U+8F05
08F07	輇			辁		U+8F07
08F08	輈			辀		U+8F08
08F0A	輊			轾		U+8F0A
08F1E	輞			辋		U+8F1E
08F26	輦			辇		U+8F26
08F44	轄			辖		U+8F44
08F45	轅			辕		U+8F45
08F46	轆			辘		U+8F46
08F56	轖					U+8F56
08F5E	轞					U+8F5E
08F64	轤			轳		U+8F64
08F9B	辛					U+8F9B
08F9C	辜					U+8F9C
08FA3	辣					U+8FA3
08FAD	辭			辞	辞	U+8FAD
08FB1	辱					U+8FB1
08FB5	辵					U+8FB5
08FBB	辻					U+8FBB
08FBC	込					U+8FBC
08FBE	达					U+8FBE
08FC1	迁					U+8FC1
08FC2	迂					U+8FC2
08FC4	迄					U+8FC4
08FD5	迕					U+8FD5
08FEA	迪					U+8FEA
08FEB	迫					U+8FEB
08FED	迭					U+8FED
08FF0	述					U+8FF0
08FF4	迴			回		U+8FF4
08FF5	迵					U+8FF5
08FF7	迷					U+8FF7
08FF9	迹					U+8FF9
08FFD	追					U+8FFD
09000	退					U+9000
09001	送					U+9001
09003	逃					U+9003
09005	逅					U+9005
09006	逆					U+9006
0900D	逍					U+900D
0900F	透					U+900F
09011	逑					U+9011
09014	途					U+9014
09016	逖					U+9016
09019	這			这		U+9019
0901A	通					U+901A
0901B	逛					U+901B
0901E	逞					U+901E
0901F	速					U+901F
09020	造					U+9020
09021	逡					U+9021
09023	連			连		U+9023
09031	週		周			U+9031
09035	逵					U+9035
09037	逷					U+9037
09038	逸					U+9038
0903C	逼					U+903C
09042	遂					U+9042
0904A	遊		游			U+904A
0904B	運			运		U+904B
09051	遑					U+9051
09053	道					U+9053
09060	遠			远		U+9060
09063	遣					U+9063
09068	遨					U+9068
0906E	遮					U+906E
09075	遵					U+9075
09077	遷			迁		U+9077
0907A	遺			遗		U+907A
0907C	遼			辽		U+907C
09081	邁			迈		U+9081
09083	邃					U+9083
09084	還			还		U+9084
09085	邅					U+9085
0908A	邊			边	辺	U+908A
0908D	邍					U+908D
09091	邑					U+9091
09095	邕					U+9095
09097	邗					U+9097
09098	邘					U+9098
09099	邙					U+9099
0909B	邛					U+909B
090A1	邡					U+90A1
090A2	邢					U+90A2
090AE	邮					U+90AE
090AF	邯					U+90AF
090B1	邱					U+90B1
090BD	邽					U+90BD
090BE	邾					U+90BE
090BF	邿					U+90BF
090C1	郁					U+90C1
090C3	郃					U+90C3
090C5	郅					U+90C5
090C8	郈					U+90C8
090CA	郊					U+90CA
090CE	郎					U+90CE
090DA	郚					U+90DA
090DB	郛					U+90DB
090DD	郝					U+90DD
090E1	郡					U+90E1
090E2	郢					U+90E2
090ED	郭					U+90ED
090F2	郲					U+90F2
090F4	郴					U+90F4
090F5	郵			邮		U+90F5
090FD	都					U+90FD
09100	鄀					U+9100
09106	鄆			郓		U+9106
09109	鄉			乡	郷	U+9109
09116	鄖			郧		U+9116
09118	鄘					U+9118
0911C	鄜					U+911C
0912D	鄭			郑		U+912D
09134	鄴			邺		U+9134
09136	鄶			郐		U+9136
