zio	qhandziw_tuan	qhandziw_driang	zyepheng_tuan	zyepheng_driang	katakana_mizikai	katakana_nagai
1	一	一等韵	Qit	Qittə́ixrŷn	ワン	デビジョン ワン
2	二	二等韵	Nî	Nîtə́ixrŷn	ツー	デビジョン ツー
3	三	三等韵	Sam	Samtə́ixrŷn	スリー	デビジョン スリー
4	四	四等韵	Sî	Sîtə́ixrŷn	フォー	デビジョン フォー
