zio	shiep_tuan	shiep_driang
1	通	通攝内一
2	江	江攝外一
3	止	止攝内二
4	遇	遇攝内三
5	蟹	蟹攝外二
6	臻	臻攝外三
7	山	山攝外四
8	效	效攝外五
9	果	果攝内四
10	假	假攝外六
11	宕	宕攝内五
12	梗	梗攝外七
13	曾	曾攝内六
14	流	流攝内七
15	深	深攝内八
16	咸	咸攝外八
