zio	qhandziwTuan	qhandziwDriang	zyephengTuan	zyephengDriang
80	個	去聲二十一個	KÂ	Khiôshieŋ‐XXI KÂ
81	禡	去聲二十二禡	MRÂ	Khiôshieŋ‐XXII MRÂ
82	漾	去聲二十三漾	JIÂŊ	Khiôshieŋ‐XXIII JIÂŊ
83	敬	去聲二十四敬	KRIÊŊ	Khiôshieŋ‐XXIV KRIÊŊ
84	徑	去聲二十五徑	KÊŊ	Khiôshieŋ‐XXV KÊŊ
85	宥	去聲二十六宥	XYÛ	Khiôshieŋ‐XXVI XYÛ
86	沁	去聲二十七沁	CHÎM	Khiôshieŋ‐XXVII CHÎM
87	勘	去聲二十八勘	KHƏ̂M	Khiôshieŋ‐XXVIII KHƏ̂M
88	艷	去聲二十九艷	JIÊM	Khiôshieŋ‐XXIX JIÊM
89	陷	去聲三十陷	XRÊM	Khiôshieŋ‐XXX XRÊM
90	屋	入聲一屋	QUK	Nipshieŋ‐I QUK
91	沃	入聲二沃	QOK	Nipshieŋ‐II QOK
92	覺	入聲三覺	KROK	Nipshieŋ‐III KROK
93	質	入聲四質	TIT	Nipshieŋ‐IV TIT
94	物	入聲五物	MYUT	Nipshieŋ‐V MYUT
95	月	入聲六月	ŊYAT	Nipshieŋ‐VI ŊYAT
96	曷	入聲七曷	XAT	Nipshieŋ‐VII XAT
97	黠	入聲八黠	XRET	Nipshieŋ‐VIII XRET
98	屑	入聲九屑	SET	Nipshieŋ‐IX SET
99	藥	入聲十藥	JIAK	Nipshieŋ‐X JIAK
100	陌	入聲十一陌	MRAK	Nipshieŋ‐XI MRAK
101	錫	入聲十二錫	SEK	Nipshieŋ‐XII SEK
102	職	入聲十三職	TIƏK	Nipshieŋ‐XIII TIƏK
103	緝	入聲十四緝	CHIP	Nipshieŋ‐XIV CHIP
104	合	入聲十五合	XƏP	Nipshieŋ‐XV XƏP
105	葉	入聲十六葉	JIEP	Nipshieŋ‐XVI JIEP
106	洽	入聲十七洽	XREP	Nipshieŋ‐XVII XREP
